Date,Close/Last,Volume,Open,High,Low
09/29/2020,73.76,N/A,73.75,73.912,73.728
09/28/2020,73.765,N/A,73.67,73.855,73.526
09/27/2020,73.685,N/A,73.67,73.685,73.685
09/25/2020,73.685,N/A,73.90,73.91,73.575
09/24/2020,73.91,N/A,73.91,73.91,73.91
09/23/2020,73.58,N/A,73.58,73.58,73.58
09/22/2020,73.503,N/A,73.51,73.52,73.503
09/21/2020,73.58,N/A,73.57,73.58,73.575
09/20/2020,73.535,N/A,73.538,73.535,73.535
09/18/2020,73.54,N/A,73.60,73.61,73.144
09/17/2020,73.61,N/A,73.61,73.61,73.61
09/16/2020,73.545,N/A,73.545,73.545,73.545
09/15/2020,73.619,N/A,73.60,73.647,73.595
09/14/2020,73.373,N/A,73.37,73.40,73.355
09/13/2020,73.48,N/A,73.43,73.48,73.48
09/11/2020,73.435,N/A,73.43,73.625,73.405
09/10/2020,73.502,N/A,73.43,73.552,73.44
09/09/2020,73.462,N/A,73.30,73.462,73.31
09/08/2020,73.805,N/A,73.74,73.832,73.75
09/07/2020,73.447,N/A,73.447,73.447,73.447
09/06/2020,73.291,N/A,73.289,73.291,73.291
09/04/2020,73.291,N/A,73.389,73.505,73.016
09/03/2020,73.47,N/A,73.389,73.505,73.391
09/02/2020,73.19,N/A,73.268,73.269,73.151
09/01/2020,73.135,N/A,73.002,73.155,73.004
08/31/2020,73.257,N/A,73.257,73.257,73.257
08/30/2020,73.125,N/A,73.114,73.175,73.052
08/28/2020,73.115,N/A,73.894,73.904,73.115
08/27/2020,73.843,N/A,73.894,73.904,73.825
08/26/2020,74.312,N/A,74.217,74.325,74.222
08/25/2020,74.285,N/A,74.202,74.32,74.223
08/24/2020,74.13,N/A,74.168,74.169,74.075
08/23/2020,74.922,N/A,74.92,74.922,74.922
08/21/2020,74.922,N/A,75.012,75.013,74.82
08/20/2020,74.987,N/A,75.012,75.013,74.975
08/19/2020,74.99,N/A,74.846,74.998,74.847
08/18/2020,74.665,N/A,74.57,74.67,74.575
